2026-02-05 22:36:57 | INFO | metamind.utils.logging | Logging initialized. File=D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\results\logs\20260205_190657_f5501a9c.log
2026-02-05 22:36:57 | INFO | metamind | Run started. run_id=20260205_190657_f5501a9c
2026-02-05 22:36:57 | INFO | metamind | Config file: D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\configs\iris_eval.yaml
2026-02-05 22:36:57 | INFO | metamind | Config: seed=42, default_problem=iris, default_method=kmeans
2026-02-05 22:36:57 | INFO | metamind | Settings: {'problem_type': 'clustering', 'problem_meta': {'dataset': 'iris', 'csv': 'data/iris/iris.csv', 'feature_cols': ['sepal_length', 'sepal_width', 'petal_length', 'petal_width'], 'label_col': 'species', 'standardize': True}, 'method_params': {'k': 3, 'max_iterations': 200}, 'llm': {'enabled': True, 'provider': 'openai', 'model': 'gpt-4o-mini', 'api_key_env': 'METIS_API_KEY', 'base_url': 'https://api.metisai.ir/openai/v1', 'temperature': 0.1}, 'evaluation': {'enabled': True, 'repeats': 5, 'methods': ['kmeans', 'som'], 'make_plots': True, 'save_per_run': True}, 'feedback_loop': {'enabled': True, 'max_rounds': 3, 'min_confidence': 0.55}}
2026-02-05 22:36:57 | INFO | metamind | Available methods: ['aco', 'fuzzy', 'ga', 'ga_tsp', 'gp', 'hopfield', 'kmeans', 'mlp', 'noop', 'perceptron', 'pso', 'random_search', 'som']
2026-02-05 22:36:57 | INFO | metamind | LLM enabled for orchestrator: provider=openai model=gpt-4o-mini api_key_env=METIS_API_KEY
2026-02-05 22:37:02 | INFO | httpx | HTTP Request: POST https://api.metisai.ir/openai/v1/responses "HTTP/1.1 200 "
2026-02-05 22:37:02 | INFO | metamind | Decision: {'problem_type': 'clustering', 'selected_method': 'kmeans', 'reasoning': 'K-means is suitable for clustering tasks, especially with well-separated clusters like in the Iris dataset.', 'parameters': {'n_clusters': 3, 'max_iter': 300, 'tol': 0.0001, 'init': 'k-means++'}, 'backup_method': None, 'confidence': 0.9}
2026-02-05 22:37:03 | INFO | metamind | Evaluation run: method=kmeans rep=1/5 seed=42
2026-02-05 22:37:03 | INFO | metamind | Eval progress: iter=0 best=142.11063713104193 metrics={'best_inertia': 142.11063713104193, 'silhouette': 0.45542721937148334}
2026-02-05 22:37:03 | INFO | metamind | Evaluation run: method=kmeans rep=2/5 seed=43
2026-02-05 22:37:03 | INFO | metamind | Eval progress: iter=0 best=142.11063713104193 metrics={'best_inertia': 142.11063713104193, 'silhouette': 0.45542721937148334}
2026-02-05 22:37:03 | INFO | metamind | Evaluation run: method=kmeans rep=3/5 seed=44
2026-02-05 22:37:03 | INFO | metamind | Eval progress: iter=0 best=142.11063713104193 metrics={'best_inertia': 142.11063713104193, 'silhouette': 0.45542721937148334}
2026-02-05 22:37:03 | INFO | metamind | Evaluation run: method=kmeans rep=4/5 seed=45
2026-02-05 22:37:03 | INFO | metamind | Eval progress: iter=0 best=141.15417813388655 metrics={'best_inertia': 141.15417813388655, 'silhouette': 0.46214947389312017}
2026-02-05 22:37:03 | INFO | metamind | Evaluation run: method=kmeans rep=5/5 seed=46
2026-02-05 22:37:03 | INFO | metamind | Eval progress: iter=0 best=141.2208872836681 metrics={'best_inertia': 141.2208872836681, 'silhouette': 0.4556692449110409}
2026-02-05 22:37:03 | INFO | metamind | Evaluation run: method=som rep=1/5 seed=42
2026-02-05 22:37:03 | INFO | metamind | Eval progress: iter=0 best=0.8279324020908044 metrics={'quantization_error': 0.8279324020908044}
2026-02-05 22:37:03 | INFO | metamind | Evaluation run: method=som rep=2/5 seed=43
2026-02-05 22:37:03 | INFO | metamind | Eval progress: iter=0 best=0.8296316389161426 metrics={'quantization_error': 0.8296316389161426}
2026-02-05 22:37:03 | INFO | metamind | Evaluation run: method=som rep=3/5 seed=44
2026-02-05 22:37:03 | INFO | metamind | Eval progress: iter=0 best=0.8478866830031028 metrics={'quantization_error': 0.8478866830031028}
2026-02-05 22:37:03 | INFO | metamind | Evaluation run: method=som rep=4/5 seed=45
2026-02-05 22:37:03 | INFO | metamind | Eval progress: iter=0 best=0.8684244101570991 metrics={'quantization_error': 0.8684244101570991}
2026-02-05 22:37:04 | INFO | metamind | Evaluation run: method=som rep=5/5 seed=46
2026-02-05 22:37:04 | INFO | metamind | Eval progress: iter=0 best=0.7209303469429738 metrics={'quantization_error': 0.7209303469429738}
2026-02-05 22:37:04 | INFO | metamind | Evaluation finished. Outputs in: D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\results\20260205_190657_f5501a9c\evaluation
2026-02-05 22:37:04 | INFO | metamind | Feedback round 1: action=switch_method conf=0.70
2026-02-05 22:37:04 | INFO | metamind | Feedback round 2: action=switch_method conf=0.70
2026-02-05 22:37:04 | INFO | metamind | Feedback round 3: action=switch_method conf=0.70
2026-02-05 22:37:04 | INFO | metamind | Evaluation run finished successfully.
